checkpoint_index,family,seed,system_id,fractional_bleu4,bleu_0_100,empty_count,empty_rate,hyp_tokens,ref_tokens,hyp_ref_token_ratio,brevity_penalty,precision_1,precision_2,precision_3,precision_4,signature
0,original,,GT-v1,0.12777148564612426,12.777148564612425,0,0.0,7863,8444,0.9311937470393179,0.9287735072561253,37.034210860994534,15.20354472445306,9.238717520133719,6.885521885521886,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
0,original,,PT-v1,0.015942094217904,1.5942094217904001,0,0.0,7577,8444,0.8973235433443866,0.8918786178888708,18.965289692490433,2.1770472895040367,0.6354249404289118,0.38910505836575876,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
0,original,,TN-PTCOMP-v1,0.1886461448492505,18.86461448492505,0,0.0,7793,8444,0.922903837044055,0.9198575047083088,50.391376876684205,24.46868008948546,14.544616802334511,9.863713798977853,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
0,original,,TN-PURE-v1,0.23788737054472034,23.788737054472033,0,0.0,7754,8444,0.918285172903837,0.9148580799316398,60.58808356977044,31.98369183185716,18.974042027194066,12.433544846510033,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
1,matched,1001,TN-PURE-v1,0.0836393710346201,8.36393710346201,0,0.0,7042,8444,0.8339649455234486,0.819475180602399,33.34280034081227,10.82643336978597,6.493055555555555,4.629810509865208,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
2,matched,1102,GT-v1,0.08883666259551064,8.883666259551063,0,0.0,7868,8444,0.9317858834675509,0.9294075574208801,31.367564819522116,10.377750103777501,6.0734892195566355,4.222035323801514,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
2,matched,1102,PT-v1,0.02163603911599342,2.163603911599342,0,0.0,8094,8444,0.9585504500236854,0.9576796920610684,20.854954287126265,2.9920837246746275,0.9541984732824428,0.4375303840544482,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
2,matched,1102,TN-PTCOMP-v1,0.07849153953147404,7.849153953147404,0,0.0,7843,8444,0.9288252013263856,0.9262335697370232,30.0267754685707,9.164121077478478,5.258344764517604,3.564189189189189,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
2,matched,1102,TN-PURE-v1,0.0778450494759812,7.784504947598119,0,0.0,7479,8444,0.8857176693510185,0.8789494030382955,30.846369835539512,9.73968996782685,5.4703888978538,3.7437005039596833,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
3,matched,1203,GT-v1,0.09123061546213379,9.123061546213378,0,0.0,7464,8444,0.8839412600663192,0.8769573743306862,32.502679528403,11.431921442180858,6.615981882885798,4.76448294531673,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
3,matched,1203,PT-v1,0.021722488681722586,2.1722488681722587,0,0.0,7397,8444,0.8760066319279962,0.8680170955894945,20.738137082601053,3.241563055062167,1.0302534750613246,0.5663134819145049,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
3,matched,1203,TN-PTCOMP-v1,0.08526551292643175,8.526551292643175,0,0.0,7525,8444,0.8911653244907627,0.8850366292504256,31.362126245847175,10.400929692039512,6.038763415024828,4.373438057836487,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
3,matched,1203,TN-PURE-v1,0.08527977044806632,8.527977044806633,0,0.0,7193,8444,0.8518474656560872,0.8403648905098273,32.76796885861254,11.095848595848596,6.409605952984949,4.550625711035267,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
4,matched,1304,GT-v1,0.09405618871537998,9.405618871537998,0,0.0,8036,8444,0.9516816674561819,0.9504958072874106,31.470881035340966,10.791075050709939,6.322179449215279,4.465892360543105,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
1,matched,101,GT-v1,0.08570669944354581,8.57066994435458,0,0.0,7559,8444,0.8951918522027476,0.8895149376549085,31.445958460113772,10.219716681121712,6.021985024693325,4.453513129879347,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
