selector,evaluator,corpus_bleu,local_gt,margin,ci_low,ci_high,diagonal,selection_family,evaluation_family
matched_101,matched_101,0.10232574455359635,0.08570669944354585,0.016619045110050495,0.007565919269065691,0.025726702903824457,True,Replica,Replica
matched_101,matched_202,0.096977074705799,0.08813481380113616,0.008842260904662835,-0.0004622007476894392,0.018786160665404898,False,Replica,Replica
matched_101,matched_303,0.09024569999107537,0.09669858031394363,-0.006452880322868254,-0.014471574451602005,0.0016231839289833495,False,Replica,Replica
matched_101,matched_404,0.09366447609355033,0.07192823265353804,0.021736243440012293,0.010037771299408296,0.03399870302514162,False,Replica,Replica
matched_101,matched_505,0.08723380390289748,0.0904719541175291,-0.003238150214631627,-0.011041633765589717,0.004318315515134985,False,Replica,Replica
matched_101,matched_606,0.08469107908914317,0.08089899257323295,0.0037920865159102174,-0.005075677384294201,0.01259190447973856,False,Replica,Replica
matched_101,original,0.08248436919794132,0.12777148564612426,-0.04528711644818294,-0.05582697931244765,-0.03499879959852453,False,Replica,Original
matched_202,matched_101,0.09552386000204717,0.08570669944354585,0.00981716055850132,0.00026219854937384963,0.019552283639972506,False,Replica,Replica
matched_202,matched_202,0.1033884311791258,0.08813481380113616,0.015253617377989637,0.0061706926129442875,0.02424654833170685,True,Replica,Replica
matched_202,matched_303,0.09515096380955583,0.09669858031394363,-0.001547616504387797,-0.010020120692544448,0.006660724329440068,False,Replica,Replica
matched_202,matched_404,0.09382900437253576,0.07192823265353804,0.021900771718997722,0.009914407519049472,0.03444258939852518,False,Replica,Replica
matched_202,matched_505,0.09404894478422426,0.0904719541175291,0.0035769906666951595,-0.006230402403616596,0.01306482891765214,False,Replica,Replica
matched_202,matched_606,0.08854011650898179,0.08089899257323295,0.007641123935748839,-0.0011977550297819306,0.016744496554451007,False,Replica,Replica
matched_202,original,0.0872132306081605,0.12777148564612426,-0.04055825503796376,-0.051874892786741546,-0.029388825717449482,False,Replica,Original
matched_303,matched_101,0.09390469819508103,0.08570669944354585,0.00819799875153518,-0.0014084563657049097,0.01797412393474877,False,Replica,Replica
matched_303,matched_202,0.10556429276530666,0.08813481380113616,0.01742947896417049,0.0084500672377772,0.02649130909623973,False,Replica,Replica
matched_303,matched_303,0.10913459758360583,0.09669858031394363,0.012436017269662203,0.0048048313971509,0.020320100151559075,True,Replica,Replica
matched_303,matched_404,0.09710676231797082,0.07192823265353804,0.025178529664432778,0.014484726084174285,0.036178557796655776,False,Replica,Replica
matched_303,matched_505,0.10002413174385835,0.0904719541175291,0.009552177626329247,0.0014094137579063694,0.01782841429227557,False,Replica,Replica
matched_303,matched_606,0.095172280214735,0.08089899257323295,0.014273287641502055,0.005415480910241062,0.023463694734018818,False,Replica,Replica
matched_303,original,0.09068414432088642,0.12777148564612426,-0.03708734132523783,-0.04872732863560365,-0.025918034012893307,False,Replica,Original
matched_404,matched_101,0.0743416234161636,0.08570669944354585,-0.011365076027382251,-0.02232003881742584,-0.00044643227620132974,False,Replica,Replica
matched_404,matched_202,0.07901809667602462,0.08813481380113616,-0.009116717125111543,-0.01982236187819572,0.0014923756313460772,False,Replica,Replica
matched_404,matched_303,0.07361510068004279,0.09669858031394363,-0.02308347963390084,-0.033710610800349435,-0.012786967584527355,False,Replica,Replica
matched_404,matched_404,0.08386182874291168,0.07192823265353804,0.011933596089373638,0.0010300582867447496,0.022948522246161993,True,Replica,Replica
matched_404,matched_505,0.07819128650593073,0.0904719541175291,-0.012280667611598378,-0.02365734832114006,-0.0012582714362356679,False,Replica,Replica
matched_404,matched_606,0.06620086200911496,0.08089899257323295,-0.014698130564117992,-0.025756609398250276,-0.0037436016103155104,False,Replica,Replica
matched_404,original,0.06668397050978765,0.12777148564612426,-0.061087515136336604,-0.07481885839060284,-0.048173813984965945,False,Replica,Original
matched_505,matched_101,0.08572011198923987,0.08570669944354585,1.341254569402206e-05,-0.00894524180117684,0.00940814125462253,False,Replica,Replica
matched_505,matched_202,0.09738169851128187,0.08813481380113616,0.009246884710145703,0.0002478781944483758,0.018352247613444554,False,Replica,Replica
matched_505,matched_303,0.08945321045470811,0.09669858031394363,-0.007245369859235518,-0.015681397833060783,0.0013981437492619079,False,Replica,Replica
matched_505,matched_404,0.09084379588288025,0.07192823265353804,0.018915563229342208,0.008015477590585653,0.030371532899701903,False,Replica,Replica
matched_505,matched_505,0.10393548691947126,0.0904719541175291,0.013463532801942152,0.0057293217892719584,0.02120098913985517,True,Replica,Replica
matched_505,matched_606,0.08008388919218086,0.08089899257323295,-0.0008151033810520902,-0.009331066039926311,0.007708025559336669,False,Replica,Replica
matched_505,original,0.08309520460313438,0.12777148564612426,-0.044676281042989874,-0.055096157278966565,-0.0341948740982155,False,Replica,Original
matched_606,matched_101,0.08939278672510903,0.08570669944354585,0.00368608728156318,-0.006204934133745257,0.01332662944936527,False,Replica,Replica
matched_606,matched_202,0.09448198192805511,0.08813481380113616,0.006347168126918948,-0.00312252497807911,0.01592443006894187,False,Replica,Replica
matched_606,matched_303,0.09378245980787622,0.09669858031394363,-0.0029161205060674045,-0.01125807359644045,0.005704760784027547,False,Replica,Replica
matched_606,matched_404,0.09065836230045705,0.07192823265353804,0.018730129646919016,0.007798002044567017,0.030308126678006024,False,Replica,Replica
matched_606,matched_505,0.08969765208209911,0.0904719541175291,-0.0007743020354299968,-0.009812303560670747,0.008398229986045242,False,Replica,Replica
matched_606,matched_606,0.0991077096039824,0.08089899257323295,0.018208717030749444,0.010466936594153065,0.026319552006444782,True,Replica,Replica
matched_606,original,0.0835720347484993,0.12777148564612426,-0.04419945089762496,-0.05565890534648818,-0.03367330710155653,False,Replica,Original
original,matched_101,0.08782949015544386,0.08570669944354585,0.002122790711898012,-0.007943339349329243,0.01221815872540068,False,Original,Replica
original,matched_202,0.09958461908840018,0.08813481380113616,0.011449805287264012,0.002015676707029616,0.02125580546309681,False,Original,Replica
original,matched_303,0.10157319624422036,0.09669858031394363,0.0048746159302767295,-0.003559907863857049,0.013737736487885581,False,Original,Replica
original,matched_404,0.08828516306429497,0.07192823265353804,0.016356930410756934,0.005413279372754136,0.027676771600761187,False,Original,Replica
original,matched_505,0.08772694791178484,0.0904719541175291,-0.002745006205744263,-0.011513813700444379,0.005923056998865712,False,Original,Replica
original,matched_606,0.09351872642934354,0.08089899257323295,0.012619733856110593,0.0032742957363654022,0.022583088816863106,False,Original,Replica
original,original,0.14489471146571395,0.12777148564612426,0.017123225819589694,0.004754609249025615,0.029544995443237083,True,Original,Original
